,engagement_probability,threeXthree,twoXtwo
826677,0.12032574415206909,0,0
1315527,0.08171780407428741,0,0
966953,0.5582720041275024,0,0
3213501,0.5082128643989563,1,1
470386,0.13166667520999908,1,1
1451076,0.0438896119594574,0,0
824300,0.0399373397231102,0,0
1846561,0.523114800453186,1,1
677690,0.10409428924322128,0,0
1268935,0.11630238592624664,0,0
1884512,0.10301502048969269,0,0
861050,0.0408891886472702,0,0
3584367,0.08393438160419464,0,0
1049730,0.03205672279000282,0,0
1386180,0.5333624482154846,0,0
2061676,0.48201650381088257,1,1
2915387,0.09322065860033035,0,0
376792,0.1074637696146965,0,0
3375403,0.08924644440412521,0,0
2189498,0.1676483452320099,0,0
3612495,0.0712759867310524,0,0
2080939,0.46172139048576355,1,1
3133397,0.079073466360569,0,0
1766534,0.09347476065158844,0,0
3413568,0.4926949441432953,1,1
1265391,0.1452564299106598,0,1
2708228,0.5613024830818176,0,0
2764762,0.07312706112861633,0,0
2240036,0.11935543268918991,0,0
2290261,0.04362796992063522,0,0
309247,0.5193435549736023,0,0
735398,0.35623931884765625,0,0
573288,0.07074248790740967,0,0
457091,0.46726593375205994,1,1
1917937,0.4073008596897125,0,0
1538977,0.14135390520095825,0,0
1585267,0.35426047444343567,1,1
3029660,0.398405522108078,1,1
1204953,0.12907709181308746,0,0
2796566,0.4622598886489868,1,1
2362031,0.07983341813087463,0,0
3093039,0.11092531681060791,0,0
1875219,0.03600562363862991,0,0
911646,0.048714715987443924,0,0
1143344,0.031892742961645126,0,0
2249256,0.06368888169527054,0,0
1337823,0.12128319591283798,0,0
736060,0.10779561847448349,0,0
2993551,0.4240870773792267,1,1
104238,0.16754359006881714,1,1
738006,0.04637395963072777,0,0
2953555,0.11145659536123276,0,0
2912430,0.055353689938783646,0,0
728980,0.10105568915605545,0,0
3066385,0.077168770134449,0,0
3084623,0.04987305402755737,0,0
187336,0.022257691249251366,0,0
3438673,0.09112592041492462,0,0
3259320,0.6321157217025757,0,1
2091854,0.11470171809196472,0,0
545263,0.10194810479879379,0,0
284945,0.03228778392076492,0,0
2140135,0.09717552363872528,0,1
2064234,0.3950079679489136,0,0
1280108,0.5038459300994873,1,1
1746064,0.034746430814266205,0,0
285506,0.11281019449234009,0,0
1578153,0.11506911367177963,0,0
481098,0.07297100871801376,0,0
3005469,0.11233938485383987,0,0
941643,0.37217843532562256,0,0
3643209,0.6115157604217529,0,0
2839234,0.14052768051624298,0,0
1703084,0.09785152226686478,0,0
1587246,0.10591330379247665,0,0
571861,0.11876481771469116,0,0
3284892,0.4674466550350189,1,1
2401217,0.45623651146888733,0,1
1771910,0.5437734723091125,0,0
2316541,0.14317145943641663,0,0
74585,0.4465359151363373,0,0
902020,0.039046160876750946,0,0
2580717,0.027277465909719467,0,0
1859546,0.4493275582790375,1,1
320571,0.029264705255627632,0,0
1587642,0.47085073590278625,0,1
708568,0.0933297649025917,0,0
1628465,0.0785256028175354,0,0
1874952,0.4292936623096466,0,0
2647590,0.4702494144439697,0,0
628216,0.04565407708287239,0,0
1471115,0.08137955516576767,0,0
3157463,0.4950244426727295,0,0
3401128,0.03294835984706879,0,0
3328320,0.04673507809638977,0,0
1774620,0.13643603026866913,0,0
922355,0.033959511667490005,0,0
1374302,0.04463209584355354,0,0
1774491,0.12570755183696747,0,0
2338318,0.47626033425331116,0,0
932393,0.47768476605415344,1,1
3220480,0.15833985805511475,0,0
2100747,0.4257541298866272,0,0
2157902,0.03746888041496277,0,0
3001174,0.028353899717330933,0,0
1934664,0.5645031332969666,0,0
18270,0.4152165651321411,1,1
2831863,0.4295285940170288,0,0
2572510,0.09362088888883591,1,1
642016,0.07116149365901947,0,0
55061,0.35508227348327637,1,1
2593321,0.4903905689716339,0,0
2299887,0.43512389063835144,1,1
365879,0.5232553482055664,1,1
180679,0.42425647377967834,0,0
1396856,0.041808970272541046,0,0
2409014,0.1647062599658966,1,1
1047243,0.10562824457883835,0,0
1527577,0.10719222575426102,0,0
3609391,0.1356028914451599,0,0
3497749,0.08482600748538971,0,0
2808505,0.02978036366403103,0,0
774955,0.10673995316028595,0,0
1279038,0.5171956419944763,1,1
3064389,0.5020394921302795,0,0
2103039,0.12140651792287827,0,0
3109764,0.0882573202252388,0,0
425947,0.4967655837535858,0,0
652519,0.11268135160207748,0,0
1424520,0.445206880569458,1,1
1732673,0.5347034335136414,1,1
3469403,0.5717504620552063,1,1
1293224,0.507999837398529,1,1
1370199,0.48567935824394226,1,1
861676,0.044997286051511765,0,0
46684,0.08239679038524628,0,0
653548,0.2030453383922577,1,1
3514260,0.08852490037679672,0,0
1252974,0.07984697073698044,0,0
2573524,0.4132653772830963,1,1
778144,0.07719940692186356,0,0
2704639,0.49871090054512024,1,1
2488009,0.0990985631942749,0,0
823840,0.040915559977293015,0,0
2406647,0.0333239771425724,0,0
2198753,0.4385252892971039,0,0
3261611,0.06626621633768082,0,0
1778734,0.5196842551231384,0,0
3360507,0.5455954074859619,0,1
3275398,0.3602360486984253,0,0
3018904,0.10988862812519073,0,0
1386261,0.41132408380508423,0,0
3170674,0.03871907666325569,0,0
445925,0.0346832312643528,0,0
503188,0.33422568440437317,0,0
3612709,0.08590482920408249,0,0
437904,0.10772593319416046,0,0
2323162,0.08574661612510681,0,0
33643,0.12487643212080002,0,0
3204699,0.10931335389614105,0,0
1585058,0.025918005034327507,0,0
2296267,0.22423484921455383,0,0
805324,0.420287549495697,1,1
3163322,0.5444650053977966,0,0
3269533,0.32147541642189026,0,0
314031,0.0355747751891613,0,0
1133893,0.5664177536964417,1,1
829221,0.4600719213485718,0,0
1196899,0.08740966767072678,0,0
2442726,0.07195436209440231,0,0
1945913,0.38587284088134766,0,0
3650405,0.18273817002773285,1,1
629871,0.04872024059295654,0,0
1343017,0.10112443566322327,0,0
1945504,0.5661255717277527,0,0
853065,0.10050615668296814,0,0
1363079,0.04518062248826027,0,0
1530554,0.12647128105163574,0,0
987381,0.5109419226646423,1,1
3303635,0.17761793732643127,1,1
184513,0.07420787960290909,0,0
3077285,0.09492267668247223,0,0
675849,0.49540743231773376,0,0
2918237,0.03132115304470062,0,0
3345042,0.39925241470336914,1,1
184513,0.07420787960290909,0,0
3421068,0.573789656162262,0,0
2306061,0.03515412285923958,0,0
1618701,0.03503633663058281,0,0
1240969,0.35935840010643005,0,0
96807,0.10046804696321487,0,0
3180151,0.5129789710044861,1,1
452193,0.4359343945980072,1,1
1520407,0.08334539830684662,0,0
1779843,0.13742436468601227,0,0
757708,0.03314788639545441,0,0
42206,0.09107887744903564,0,0
1270254,0.0827210322022438,0,0
1922155,0.08626013994216919,0,0
2647520,0.09886418282985687,0,0
68128,0.11712337285280228,1,1
1024908,0.4469830393791199,1,1
1239350,0.47088226675987244,1,1
27480,0.03750884532928467,0,0
2537566,0.0647721067070961,0,0
3121698,0.4064335227012634,1,1
1317982,0.02958611771464348,0,0
857581,0.5854925513267517,0,0
2442299,0.13321146368980408,0,0
141790,0.095164455473423,0,0
27395,0.08823484182357788,0,1
50177,0.43487638235092163,1,1
3004316,0.5290246605873108,0,0
3535651,0.07986561208963394,0,0
2885141,0.07720240205526352,0,0
1016507,0.04094500094652176,0,0
2742381,0.09004601836204529,0,0
2842636,0.09811890870332718,0,0
1546963,0.06566780060529709,0,0
1279435,0.5475175380706787,1,1
1389178,0.11788703501224518,0,0
2174743,0.44447430968284607,1,1
308322,0.07603657990694046,0,0
1894103,0.027014125138521194,0,0
93288,0.03173673897981644,0,0
1168803,0.030050158500671387,0,0
1042780,0.49265339970588684,0,0
2617118,0.04209015145897865,0,0
1469779,0.05846482515335083,0,0
1894204,0.04589689522981644,0,0
3395611,0.43531957268714905,0,0
186697,0.4158953130245209,0,0
477286,0.13188950717449188,0,0
1626559,0.5132572650909424,1,1
505889,0.03947792574763298,0,0
326316,0.0903373509645462,0,0
3216300,0.4061741828918457,0,0
2438952,0.0779007151722908,0,0
2512194,0.03904172033071518,0,0
1691874,0.4544251561164856,0,0
2788817,0.06564345955848694,0,0
2616285,0.0633067637681961,0,0
425032,0.08141051977872849,0,0
3228669,0.1389092057943344,0,0
1126836,0.15870559215545654,0,0
2777049,0.45565855503082275,0,0
205843,0.10604342073202133,0,0
975203,0.09124775975942612,0,1
3614093,0.481417715549469,1,1
1972155,0.4838968813419342,0,0
3025900,0.032780539244413376,0,0
226917,0.258480966091156,0,0
1290967,0.07935284823179245,0,0
2755816,0.6049391627311707,1,1
1295051,0.22483327984809875,0,0
744256,0.38640832901000977,1,1
1844656,0.07312702387571335,0,0
2692191,0.07908830046653748,0,0
3007223,0.19626672565937042,0,0
559099,0.42387688159942627,0,0
1056500,0.11289088428020477,0,0
1649352,0.056753695011138916,0,0
2902352,0.49288254976272583,1,1
371104,0.03891743719577789,0,0
2471966,0.12476492673158646,0,0
2224451,0.03684663027524948,0,0
1261420,0.6187579035758972,1,1
673730,0.3687094748020172,0,0
185660,0.05284286290407181,0,0
3517691,0.11930231004953384,0,0
2353009,0.1335866004228592,0,0
2945873,0.08231843262910843,0,0
1689787,0.12040091305971146,0,0
1623785,0.4709175229072571,0,0
3157534,0.10846192389726639,1,1
348998,0.15687237679958344,0,0
1663256,0.08577736467123032,0,0
3072296,0.07167326658964157,0,0
2327397,0.1885421872138977,0,0
2204499,0.5880778431892395,0,0
2270622,0.04620347544550896,0,0
3177407,0.10416398197412491,0,0
1692434,0.44312718510627747,0,1
215980,0.41901853680610657,0,0
1440977,0.03247620165348053,0,0
543184,0.1799747198820114,1,1
3339013,0.0436582937836647,0,0
443897,0.042163413017988205,0,0
1636904,0.3324757516384125,0,0
3092048,0.0362878255546093,0,0
2662613,0.139402836561203,0,0
2348660,0.14743013679981232,0,0
2952257,0.07014048844575882,0,0
2704605,0.19189868867397308,0,0
636826,0.4599579870700836,0,0
554290,0.029382474720478058,0,0
1401396,0.0326228030025959,0,0
2691574,0.10023319721221924,0,0
2606114,0.09648039937019348,0,0
2720482,0.42838481068611145,1,1
2258028,0.03520091623067856,0,0
1134705,0.09929074347019196,0,0
876658,0.11706654727458954,0,0
2989761,0.10073530673980713,0,0
2563350,0.08919692039489746,0,0
1923870,0.09141384810209274,0,0
3450527,0.5856150984764099,1,1
1893665,0.43344804644584656,0,0
3064463,0.04800872132182121,0,0
2178605,0.04634276404976845,0,0
1616665,0.04245683178305626,0,0
1154695,0.02999136410653591,0,0
2835892,0.5602517127990723,0,0
2759901,0.6371604204177856,1,1
916492,0.0730762779712677,0,0
1334973,0.49044016003608704,1,1
2200487,0.02743048593401909,0,0
1570009,0.5125413537025452,0,0
